length,M,U,magnetization,energy
1,1,1,0.000207728,-33.247
2,1,1,0.000800246,-70.4102
3,1,1,0.00354151,-107.812
4,1,1,2.25044,-145.458
5,1,1,2.92732,-183.137
6,1,1,3.1388,-220.796
7,1,1,3.21086,-258.448
8,1,1,3.23374,-296.098
9,1,1,3.24277,-333.747
10,1,1,3.24427,-371.395
11,1,1,3.24544,-409.044
12,1,1,3.24733,-446.692
13,1,1,3.24677,-484.341
14,1,1,3.24709,-521.99
15,1,1,3.24665,-559.638
16,1,1,3.24647,-597.287
1,1,1.3,0.000547168,-27.577
2,1,1.3,0.00258494,-59.0703
3,1,1.3,2.30917,-90.9937
4,1,1.3,3.42727,-123.05
5,1,1.3,3.79614,-155.051
6,1,1.3,3.92642,-187.035
7,1,1.3,3.97474,-219.016
8,1,1.3,3.98762,-250.994
9,1,1.3,3.99409,-282.973
10,1,1.3,3.99706,-314.952
11,1,1.3,3.99479,-346.93
12,1,1.3,3.99492,-378.909
13,1,1.3,3.99669,-410.887
14,1,1.3,3.99502,-442.866
15,1,1.3,3.99721,-474.844
16,1,1.3,3.9962,-506.823
1,1,1.6,0.00151486,-21.907
2,1,1.6,1.97877,-47.9315
3,1,1.6,3.99909,-74.4644
4,1,1.6,4.73908,-100.827
5,1,1.6,5.04246,-127.143
6,1,1.6,5.16402,-153.449
7,1,1.6,5.21216,-179.755
8,1,1.6,5.22409,-206.062
9,1,1.6,5.23441,-232.369
10,1,1.6,5.23538,-258.678
11,1,1.6,5.2367,-284.986
12,1,1.6,5.2394,-311.295
13,1,1.6,5.23942,-337.603
14,1,1.6,5.23362,-363.912
15,1,1.6,5.24394,-390.22
16,1,1.6,5.24505,-416.529
1,1,1.9,0.00652823,-16.237
2,1,1.9,4.41165,-37.5442
3,1,1.9,6.02765,-58.4118
4,1,1.9,6.91201,-79.0966
5,1,1.9,7.38794,-99.7228
6,1,1.9,7.63753,-120.34
7,1,1.9,7.76072,-140.96
8,1,1.9,7.81816,-161.587
9,1,1.9,7.85915,-182.22
10,1,1.9,7.85354,-202.853
11,1,1.9,7.87469,-223.49
12,1,1.9,7.8617,-244.127
13,1,1.9,7.89122,-264.766
14,1,1.9,7.86165,-285.404
15,1,1.9,7.89976,-306.043
16,1,1.9,7.85654,-326.68
1,3,1,2.11292,-31.7895
2,3,1,2.42541,-70.0041
3,3,1,2.65133,-107.792
4,3,1,2.83454,-145.483
5,3,1,2.98254,-183.145
6,3,1,3.07487,-220.798
7,3,1,3.14434,-258.449
8,3,1,3.18243,-296.098
9,3,1,3.20986,-333.747
10,3,1,3.22356,-371.395
11,3,1,3.23431,-409.044
12,3,1,3.23921,-446.692
13,3,1,3.24188,-484.341
14,3,1,3.24423,-521.99
15,3,1,3.24477,-559.638
16,3,1,3.24473,-597.287
1,3,1.3,2.20687,-26.4206
2,3,1.3,2.70425,-58.9276
3,3,1.3,3.10324,-91.0367
4,3,1.3,3.37706,-123.056
5,3,1.3,3.60265,-155.05
6,3,1.3,3.74202,-187.034
7,3,1.3,3.84337,-219.014
8,3,1.3,3.90159,-250.994
9,3,1.3,3.94177,-282.973
10,3,1.3,3.96422,-314.951
11,3,1.3,3.97681,-346.93
12,3,1.3,3.98415,-378.909
13,3,1.3,3.99147,-410.887
14,3,1.3,3.99327,-442.866
15,3,1.3,3.99448,-474.844
16,3,1.3,3.99709,-506.823
1,3,1.6,2.31275,-21.0972
2,3,1.6,3.10623,-47.9518
3,3,1.6,3.75618,-74.4114
4,3,1.6,4.20732,-100.778
5,3,1.6,4.56199,-127.113
6,3,1.6,4.79708,-153.433
7,3,1.6,4.95933,-179.747
8,3,1.6,5.06328,-206.058
9,3,1.6,5.1274,-232.368
10,3,1.6,5.17223,-258.677
11,3,1.6,5.19647,-284.986
12,3,1.6,5.21002,-311.294
13,3,1.6,5.21859,-337.603
14,3,1.6,5.23399,-363.912
15,3,1.6,5.22911,-390.22
16,3,1.6,5.22889,-416.529
1,3,1.9,2.43317,-15.8291
2,3,1.9,3.79565,-37.166
3,3,1.9,4.77168,-58.0605
4,3,1.9,5.6125,-78.8365
5,3,1.9,6.22891,-99.5539
6,3,1.9,6.72174,-120.238
7,3,1.9,7.0599,-140.903
8,3,1.9,7.3172,-161.556
9,3,1.9,7.48461,-182.201
10,3,1.9,7.6122,-202.845
11,3,1.9,7.68943,-223.485
12,3,1.9,7.74659,-244.124
13,3,1.9,7.79351,-264.764
14,3,1.9,7.82218,-285.403
15,3,1.9,7.84331,-306.042
16,3,1.9,7.83987,-326.68
1,3,1.7,2.3511,-19.3345
2,3,1.7,3.30526,-44.3286
3,3,1.7,4.04304,-68.9191
4,3,1.7,4.59214,-93.4109
5,3,1.7,5.0084,-117.865
6,3,1.7,5.30196,-142.301
7,3,1.7,5.49826,-166.728
8,3,1.7,5.63584,-191.151
9,3,1.7,5.71711,-215.571
10,3,1.7,5.77305,-239.991
11,3,1.7,5.80694,-264.41
12,3,1.7,5.82576,-288.828
13,3,1.7,5.84341,-313.247
14,3,1.7,5.84968,-337.666
15,3,1.7,5.85799,-362.084
16,3,1.7,5.86603,-386.503
1,1,1.7,0.000617142,-20.017
2,1,1.7,2.87797,-44.4001
3,1,1.7,4.58902,-69.0348
4,1,1.7,5.31746,-93.4988
5,1,1.7,5.63948,-117.918
6,1,1.7,5.77985,-142.33
7,1,1.7,5.83002,-166.742
8,1,1.7,5.8494,-191.157
9,1,1.7,5.85618,-215.574
10,1,1.7,5.86393,-239.992
11,1,1.7,5.86333,-264.41
12,1,1.7,5.86426,-288.829
13,1,1.7,5.85924,-313.247
14,1,1.7,5.86053,-337.666
15,1,1.7,5.87388,-362.084
16,1,1.7,5.87193,-386.503
1,1,1.8,0.00105532,-18.1273
2,1,1.8,3.65442,-40.9306
3,1,1.8,5.25206,-63.6732
4,1,1.8,6.02322,-86.2424
5,1,1.8,6.39417,-108.764
6,1,1.8,6.56509,-131.278
7,1,1.8,6.64022,-153.796
8,1,1.8,6.67066,-176.319
9,1,1.8,6.68777,-198.844
10,1,1.8,6.69252,-221.371
11,1,1.8,6.70351,-243.899
12,1,1.8,6.69423,-266.427
13,1,1.8,6.71033,-288.956
14,1,1.8,6.68964,-311.484
15,1,1.8,6.70788,-334.013
16,1,1.8,6.6956,-356.541
1,3,1.8,2.39118,-17.5783
2,3,1.8,3.53284,-40.7308
3,3,1.8,4.37691,-63.4642
4,3,1.8,5.05312,-86.0908
